Epoch: [1][73/362]	Time 0.462 (0.649)	Data 0.001 (0.228)	Loss 1.5412 (1.4568)	MAE 1.110 (0.986)
Epoch: [1][74/362]	Time 1.262 (0.658)	Data 0.001 (0.225)	Loss 0.7545 (1.4473)	MAE 0.738 (0.983)
Epoch: [1][75/362]	Time 1.434 (0.668)	Data 0.005 (0.222)	Loss 0.9016 (1.4400)	MAE 0.774 (0.980)
Epoch: [1][76/362]	Time 0.434 (0.665)	Data 0.001 (0.219)	Loss 0.3861 (1.4261)	MAE 0.527 (0.974)
Epoch: [1][77/362]	Time 0.431 (0.662)	Data 0.003 (0.216)	Loss 0.7949 (1.4179)	MAE 0.856 (0.972)
Epoch: [1][78/362]	Time 0.515 (0.660)	Data 0.001 (0.213)	Loss 0.3934 (1.4048)	MAE 0.599 (0.967)
Epoch: [1][79/362]	Time 0.459 (0.657)	Data 0.001 (0.211)	Loss 0.7009 (1.3959)	MAE 0.757 (0.965)
Epoch: [1][80/362]	Time 1.400 (0.667)	Data 0.001 (0.208)	Loss 0.8470 (1.3890)	MAE 0.857 (0.963)
Epoch: [1][81/362]	Time 0.466 (0.664)	Data 0.001 (0.205)	Loss 0.7931 (1.3817)	MAE 0.804 (0.961)
Epoch: [1][82/362]	Time 0.458 (0.662)	Data 0.001 (0.203)	Loss 0.4558 (1.3704)	MAE 0.626 (0.957)
Epoch: [1][83/362]	Time 1.220 (0.668)	Data 0.001 (0.201)	Loss 1.0525 (1.3665)	MAE 0.930 (0.957)
Epoch: [1][84/362]	Time 0.913 (0.671)	Data 0.036 (0.199)	Loss 0.3178 (1.3541)	MAE 0.508 (0.952)
Epoch: [1][85/362]	Time 1.319 (0.679)	Data 0.001 (0.196)	Loss 0.5658 (1.3448)	MAE 0.658 (0.948)
Epoch: [1][86/362]	Time 0.428 (0.676)	Data 0.001 (0.194)	Loss 0.8177 (1.3387)	MAE 0.889 (0.948)
Epoch: [1][87/362]	Time 0.472 (0.674)	Data 0.001 (0.192)	Loss 0.4217 (1.3281)	MAE 0.604 (0.944)
Epoch: [1][88/362]	Time 0.531 (0.672)	Data 0.001 (0.190)	Loss 0.6776 (1.3207)	MAE 0.747 (0.941)
Epoch: [1][89/362]	Time 0.465 (0.670)	Data 0.001 (0.187)	Loss 0.4767 (1.3112)	MAE 0.582 (0.937)
Epoch: [1][90/362]	Time 0.416 (0.667)	Data 0.001 (0.185)	Loss 0.3884 (1.3010)	MAE 0.588 (0.933)
Epoch: [1][91/362]	Time 0.606 (0.666)	Data 0.001 (0.183)	Loss 0.3290 (1.2903)	MAE 0.568 (0.929)
Epoch: [1][92/362]	Time 1.219 (0.672)	Data 0.036 (0.182)	Loss 0.8659 (1.2857)	MAE 0.793 (0.928)
Epoch: [1][93/362]	Time 0.489 (0.670)	Data 0.001 (0.180)	Loss 0.6031 (1.2784)	MAE 0.664 (0.925)
Epoch: [1][94/362]	Time 1.236 (0.676)	Data 0.000 (0.178)	Loss 0.9183 (1.2745)	MAE 0.899 (0.925)
Epoch: [1][95/362]	Time 1.514 (0.685)	Data 0.001 (0.176)	Loss 0.8448 (1.2700)	MAE 0.779 (0.923)
Epoch: [1][96/362]	Time 1.251 (0.691)	Data 0.001 (0.174)	Loss 0.5608 (1.2626)	MAE 0.677 (0.921)
Epoch: [1][97/362]	Time 1.272 (0.697)	Data 0.005 (0.172)	Loss 1.0978 (1.2609)	MAE 1.002 (0.922)
Epoch: [1][98/362]	Time 1.013 (0.700)	Data 0.001 (0.171)	Loss 0.3810 (1.2519)	MAE 0.561 (0.918)
Epoch: [1][99/362]	Time 0.694 (0.700)	Data 0.085 (0.170)	Loss 0.4959 (1.2443)	MAE 0.664 (0.915)
Epoch: [1][100/362]	Time 0.641 (0.700)	Data 0.001 (0.168)	Loss 0.7446 (1.2393)	MAE 0.779 (0.914)
Epoch: [1][101/362]	Time 1.205 (0.705)	Data 0.048 (0.167)	Loss 0.4529 (1.2315)	MAE 0.613 (0.911)
Epoch: [1][102/362]	Time 0.787 (0.705)	Data 0.001 (0.165)	Loss 0.3224 (1.2226)	MAE 0.526 (0.907)
Epoch: [1][103/362]	Time 2.032 (0.718)	Data 0.066 (0.164)	Loss 1.1512 (1.2219)	MAE 1.053 (0.909)
Epoch: [1][104/362]	Time 1.153 (0.722)	Data 0.001 (0.163)	Loss 0.5263 (1.2152)	MAE 0.674 (0.906)
Epoch: [1][105/362]	Time 1.952 (0.734)	Data 0.010 (0.161)	Loss 0.9453 (1.2127)	MAE 1.010 (0.907)
Epoch: [1][106/362]	Time 0.820 (0.735)	Data 0.086 (0.161)	Loss 0.3679 (1.2047)	MAE 0.562 (0.904)
Epoch: [1][107/362]	Time 0.434 (0.732)	Data 0.001 (0.159)	Loss 0.4572 (1.1977)	MAE 0.615 (0.901)
Epoch: [1][108/362]	Time 0.454 (0.730)	Data 0.001 (0.158)	Loss 0.5255 (1.1915)	MAE 0.692 (0.900)
Epoch: [1][109/362]	Time 1.931 (0.741)	Data 0.003 (0.156)	Loss 1.3808 (1.1932)	MAE 1.151 (0.902)
Epoch: [1][110/362]	Time 0.796 (0.741)	Data 0.001 (0.155)	Loss 0.5508 (1.1874)	MAE 0.677 (0.900)
Epoch: [1][111/362]	Time 0.984 (0.743)	Data 0.085 (0.154)	Loss 0.6981 (1.1830)	MAE 0.826 (0.899)
Epoch: [1][112/362]	Time 0.428 (0.740)	Data 0.001 (0.153)	Loss 1.0001 (1.1813)	MAE 0.955 (0.900)
Epoch: [1][113/362]	Time 0.450 (0.738)	Data 0.002 (0.152)	Loss 0.9689 (1.1794)	MAE 0.887 (0.899)
Epoch: [1][114/362]	Time 0.461 (0.735)	Data 0.001 (0.150)	Loss 2.2272 (1.1886)	MAE 1.472 (0.905)
Epoch: [1][115/362]	Time 0.500 (0.733)	Data 0.003 (0.149)	Loss 0.4892 (1.1826)	MAE 0.611 (0.902)
Epoch: [1][116/362]	Time 0.399 (0.731)	Data 0.001 (0.148)	Loss 1.3396 (1.1839)	MAE 1.052 (0.903)
Epoch: [1][117/362]	Time 0.435 (0.728)	Data 0.001 (0.146)	Loss 1.1138 (1.1833)	MAE 0.956 (0.904)
